"word","freqency"
"اتدفا",1
"اتيك",1
"اثنا",1
"اجراس",1
"اجسادنا",1
"اجمل",1
"اجملك",1
"احاصر",1
"احب",1
"احتضار",1
"احجب",1
"احدهم",1
"احذروا",1
"احزاب",1
"احلم",1
"احمد",1
"احيانا",1
"اخت",1
"اخيط",1
"ادا",1
"ادان",1
"ادنى",1
"ادوارد",1
"ارا",1
"اراد",1
"ارتعاش",1
"ارتفاع",1
"ارجا",1
"ارسيت",1
"ارشا",1
"ارصف",1
"ارهاب",1
"ازهار",1
"اسادور",1
"استئناف",1
"استجاب",1
"استجواب",1
"استحضار",1
"استراتيج",1
"استشراق",1
"استقطاب",1
"استلاب",1
"اسدل",1
"اسرى",1
"اسلوب",1
"اسما",1
"اسماهم",1
"اسناد",1
"اسواق",1
"اشراق",1
"اشعاعا",1
"اشيا",1
"اصال",1
"اصغا",1
"اصلاح",1
"اصول",1
"اضا",1
"اضداد",1
"اطار",1
"اطمح",1
"اطن",1
"اطيع",1
"اعتراض",1
"اعتراف",1
"اعذار",1
"اعراب",1
"اعظم",1
"اعلام",1
"اعلن",1
"اعماق",1
"اعمال",1
"اعمى",1
"اغتصاب",1
"اغتيال",1
"اغني",1
"افتا",1
"افتتاح",1
"افتحوا",1
"افراح",1
"افروديت",1
"افضل",1
"افضليت",1
"افق",1
"افقا",1
"افهم",1
"اقام",1
"اقبح",1
"اقراص",1
"اقع",1
"اقف",1
"اقفاص",1
"اقواس",1
"اك",1
"اكتشاف",1
"اكتفا",1
"الفاظ",1
"الله",1
"الم",1
"اله",1
"امبريال",1
"امتلك",1
"امثول",1
"امح",1
"امرؤ",1
"امرا",1
"امريك",1
"امس",1
"امضينا",1
"امكن",1
"املك",1
"اموت",1
"اموم",1
"انتخاب",1
"انتظار",1
"انحنا",1
"انحنى",1
"انخيل",1
"انسحاب",1
"انشطار",1
"انطباع",1
"انظم",1
"انفعال",1
"انكلترا",1
"اهداف",1
"اهرب",1
"اهل",1
"اور",1
"اورا",1
"اوراق",1
"اورغان",1
"اولو",1
"اولى",1
"ايت",1
"ايحا",1
"ايد",1
"ايديولوجيا",1
"اير",1
"ايستيب",1
"ايطاليا",1
"با",1
"بابنا",1
"باحث",1
"بارت",1
"بارد",1
"باريس",1
"باك",1
"بانتظار",1
"بخرائط",1
"بداي",1
"بدو",1
"بذات",1
"برار",1
"برتو",1
"برك",1
"برو",1
"بروق",1
"برونز",1
"بريئ",1
"بريئا",1
"بريش",1
"بريفا",1
"بسيط",1
"بصر",1
"بصريا",1
"بصيغ",1
"بضرور",1
"بطاق",1
"بطن",1
"بطول",1
"بعرض",1
"بعيد",1
"بعيدا",1
"بعين",1
"بغداد",1
"بغير",1
"بق",1
"بلاد",1
"بلباس",1
"بليستسكايا",1
"بند",1
"بندول",1
"بني",1
"بنيت",1
"بهدو",1
"بهيم",1
"بودلير",1
"بورجوزا",1
"بول",1
"بوم",1
"بيت",1
"بيروقراط",1
"بيضا",1
"بيكيت",1
"تؤرخ",1
"تؤسس",1
"تا",1
"تائ",1
"تابع",1
"تاميراس",1
"تانيث",1
"تاويل",1
"تبدا",1
"تبرير",1
"تبع",1
"تبكر",1
"تتجاوز",1
"تتحدد",1
"تتسع",1
"تجاذب",1
"تجانس",1
"تجريب",1
"تجمع",1
"تجنب",1
"تحترق",1
"تحديد",1
"تحرير",1
"تحقيق",1
"تحويل",1
"ترجم",1
"ترجمت",1
"ترك",1
"تساع",1
"تسامح",1
"تستعد",1
"تستمر",1
"تسو",1
"تسول",1
"تشب",1
"تشتعل",1
"تصبح",1
"تصعيد",1
"تصور",1
"تعارض",1
"تعال",1
"تعاليم",1
"تعامل",1
"تعبير",1
"تعد",1
"تعرف",1
"تعريف",1
"تعزفن",1
"تعصب",1
"تعليم",1
"تغلب",1
"تفتيت",1
"تفضح",1
"تقاليد",1
"تقسيم",1
"تقطير",1
"تقمص",1
"تقييم",1
"تكتب",1
"تكف",1
"تكو",1
"تلال",1
"تمار",1
"تمجيد",1
"تمحى",1
"تمر",1
"تمرحل",1
"تمظهر",1
"تملا",1
"تمنع",1
"تمهل",1
"تناسخ",1
"تنحدر",1
"تنز",1
"تنظير",1
"تنظيم",1
"تنوير",1
"تنويع",1
"تهب",1
"تواج",1
"توج",1
"تودوروف",1
"توسيع",1
"توصيل",1
"توفير",1
"توقع",1
"تونس",1
"تيريستا",1
"تيسير",1
"ثا",1
"ثالث",1
"ثب",1
"ثرا",1
"ثعلب",1
"ثق",1
"ثلج",1
"ثوب",1
"ثوريا",1
"ثيرنودا",1
"ثيموقاوس",1
"جامع",1
"جان",1
"جانب",1
"جبران",1
"جحانوف",1
"جحيد",1
"جدد",1
"جدنا",1
"جذر",1
"جذور",1
"جراثيم",1
"جراح",1
"جز",1
"جزائريت",1
"جزر",1
"جزير",1
"جسر",1
"جسم",1
"جغراف",1
"جفاف",1
"جلال",1
"جلجامش",1
"جلجل",1
"جلد",1
"جلوس",1
"جليل",1
"جمال",1
"جمع",1
"جمل",1
"جميل",1
"جنوب",1
"جنود",1
"جه",1
"جهواد",1
"جواب",1
"جوفا",1
"جولي",1
"جيفارا",1
"جيم",1
"جين",1
"جينيت",1
"حارس",1
"حالم",1
"حامل",1
"حاو",1
"حبل",1
"حبلى",1
"حبيب",1
"حبيبت",1
"حجاب",1
"حجار",1
"حد",1
"حدائق",1
"حدود",1
"حرود",1
"حري",1
"حريق",1
"حس",1
"حسر",1
"حسن",1
"حش",1
"حشيش",1
"حصار",1
"حضري",1
"حق",1
"حقل",1
"حقول",1
"حكا",1
"حكام",1
"حكاي",1
"حكايت",1
"حكوات",1
"حلاج",1
"حلق",1
"حليم",1
"حمى",1
"حوم",1
"حيات",1
"حيدا",1
"حيدر",1
"حير",1
"حيز",1
"حيو",1
"خائنا",1
"خاص",1
"خافت",1
"خال",1
"خامس",1
"خدم",1
"خذ",1
"خرائب",1
"خراف",1
"خروج",1
"خريط",1
"خشب",1
"خصائص",1
"خطيب",1
"خلا",1
"خلاص",1
"خلايا",1
"خلخل",1
"خلو",1
"خليط",1
"خناق",1
"خوارج",1
"خوس",1
"خوف",1
"خير",1
"خيط",1
"خيوط",1
"د",1
"دات",1
"دار",1
"داعا",1
"دام",1
"دروب",1
"درويش",1
"دسدمونا",1
"دعد",1
"دفاع",1
"دليل",1
"دمطلوب",1
"دنيو",1
"دهر",1
"دهليز",1
"دولوز",1
"دويه",1
"ديا",1
"ديب",1
"ديناصور",1
"دينوكا",1
"ذاكرت",1
"ذال",1
"ذكرى",1
"ذهب",1
"رؤى",1
"رائح",1
"رائحتك",1
"راحت",1
"راس",1
"رافد",1
"راى",1
"رايت",1
"رباع",1
"ربح",1
"ربيع",1
"رجع",1
"رحاب",1
"رحبا",1
"رحم",1
"رحيل",1
"رده",1
"ردود",1
"رزن",1
"رس",1
"رسالت",1
"رصاص",1
"رصاصا",1
"رقائم",1
"رقاب",1
"رقص",1
"ره",1
"روايت",1
"روزال",1
"روض",1
"رياح",1
"ريف",1
"زريق",1
"زلزال",1
"زليخ",1
"زيزف",1
"زين",1
"سا",1
"سائح",1
"سابق",1
"ساحر",1
"ساد",1
"ساع",1
"سافرت",1
"سام",1
"سامجد",1
"سبق",1
"سبقتك",1
"سبول",1
"سبينوزا",1
"ستيت",1
"سدر",1
"سديم",1
"سطور",1
"سفر",1
"سقوط",1
"سكر",1
"سكين",1
"سلاسيك",1
"سلال",1
"سلطو",1
"سلوى",1
"سليم",1
"سم",1
"سمر",1
"سمع",1
"سنفعل",1
"سنو",1
"سودا",1
"سور",1
"سوفر",1
"سوفيات",1
"سوفيت",1
"سي",1
"سياب",1
"سياسي",1
"سير",1
"سيرور",1
"سيك",1
"سيكولوج",1
"سيناريو",1
"سينمائ",1
"شا",1
"شاب",1
"شارد",1
"شاركن",1
"شاطئ",1
"شامل",1
"شباب",1
"شبح",1
"شجاع",1
"شد",1
"شر",1
"شراب",1
"شرطا",1
"شرقك",1
"شرقي",1
"شعاع",1
"شعوب",1
"شفو",1
"شقوق",1
"شقير",1
"شك",1
"شهيد",1
"شوق",1
"شيخوخ",1
"شيزوفرين",1
"شيزوفرينيا",1
"شيوع",1
"صا",1
"صالح",1
"صباح",1
"صبار",1
"صح",1
"صحح",1
"صحف",1
"صخر",1
"صداق",1
"صدام",1
"صدر",1
"صدق",1
"صراع",1
"صعب",1
"صعدت",1
"صعلوك",1
"صغار",1
"صفع",1
"صفو",1
"صلا",1
"صلت",1
"صمت",1
"صموئيل",1
"صنعت",1
"صهيون",1
"صو",1
"صوف",1
"صوفيا",1
"صياد",1
"صيدا",1
"صين",1
"ضا",1
"ضجيج",1
"ضح",1
"ضحايا",1
"ضمير",1
"ضيا",1
"ضيق",1
"طاعن",1
"طالع",1
"طاول",1
"طبق",1
"طع",1
"طعن",1
"طلق",1
"طو",1
"طوائف",1
"طواف",1
"طويل",1
"طويلا",1
"طيور",1
"ظاهر",1
"ظل",1
"ظن",1
"ظهير",1
"عاد",1
"عادل",1
"عار",1
"عب",1
"عبد",1
"عبقر",1
"عتم",1
"عثمان",1
"عدن",1
"عذب",1
"عذري",1
"عراق",1
"عرس",1
"عرف",1
"عرو",1
"عريق",1
"عزل",1
"عصور",1
"عطف",1
"عظيما",1
"عقائد",1
"عقد",1
"عكا",1
"عكاز",1
"عكس",1
"علائق",1
"علاقات",1
"علمان",1
"علمت",1
"علمن",1
"عم",1
"عميا",1
"عميقا",1
"عناصر",1
"عي",1
"عيد",1
"غائب",1
"غارثيا",1
"غامض",1
"غة",1
"غرف",1
"غريب",1
"غس",1
"غضب",1
"غلب",1
"غموض",1
"غنا",1
"غوا",1
"غوث",1
"غودو",1
"غولدم",1
"غياب",1
"غيابا",1
"غيابيا",1
"غيب",1
"غيرب",1
"غيفارا",1
"غيم",1
"فائد",1
"فارس",1
"فاطم",1
"فخ",1
"فدا",1
"فرح",1
"فرضي",1
"فرق",1
"فرنسا",1
"فرنسي",1
"فصول",1
"فض",1
"فضيح",1
"فعلا",1
"فعلت",1
"فقد",1
"فلو",1
"فنا",1
"فنان",1
"فنطاس",1
"فواصل",1
"فور",1
"فوضو",1
"فوضى",1
"فيتنام",1
"فينا",1
"قابل",1
"قارع",1
"قالب",1
"قان",1
"قبرش",1
"قبيل",1
"قتال",1
"قتلى",1
"قتيل",1
"قداس",1
"قدس",1
"قدم",1
"قديس",1
"قران",1
"قرب",1
"قرن",1
"قرنا",1
"قروننا",1
"قزح",1
"قسطنط",1
"قسو",1
"قص",1
"قصت",1
"قصيرت",1
"قطع",1
"قطيع",1
"قفر",1
"قل",1
"قلع",1
"قمع",1
"قمم",1
"قنديل",1
"قنصل",1
"قول",1
"قيس",1
"قيم",1
"كائن",1
"كاب",1
"كابوس",1
"كبار",1
"كبرى",1
"كبير",1
"كتبت",1
"كريم",1
"كسرتن",1
"كسور",1
"كفرون",1
"كلما",1
"كلود",1
"كليم",1
"كمقصل",1
"كن",1
"كنت",1
"كنفان",1
"كوابيس",1
"كواكب",1
"كوكب",1
"كونفوش",1
"كوه",1
"كيميا",1
"كينونت",1
"لابجد",1
"لاد",1
"لارواح",1
"لاشعور",1
"لاطبق",1
"لاغ",1
"لاقتسام",1
"لام",1
"لامحدود",1
"لامعقول",1
"لبابل",1
"لبلاب",1
"لتاريخ",1
"لتحرير",1
"لتقييم",1
"لتمت",1
"لثلاث",1
"لذ",1
"لذبح",1
"لرؤ",1
"لراح",1
"لساكن",1
"لسن",1
"لشؤ",1
"لطائر",1
"لعب",1
"لعروض",1
"لعمر",1
"لفظ",1
"لقرا",1
"لقض",1
"لكتيك",1
"لمفهوم",1
"لمقاطع",1
"لمناسب",1
"لمهيار",1
"لموسيقى",1
"لميا",1
"لواقع",1
"لوامع",1
"لوبيث",1
"لوسي",1
"لوقت",1
"ليال",1
"ليبرال",1
"ليد",1
"ليست",1
"لين",1
"لينين",1
"مؤتلف",1
"مؤنث",1
"مئو",1
"مائد",1
"مائي",1
"مات",1
"ماتت",1
"ماخوذا",1
"ماركوز",1
"مازال",1
"مازق",1
"مازم",1
"مالوف",1
"مانيا",1
"مانيفستو",1
"مبادل",1
"مباهج",1
"مبتدا",1
"مبتذل",1
"متاصل",1
"متحرك",1
"متضاد",1
"متعب",1
"متعدد",1
"متمرد",1
"متنب",1
"متوحش",1
"متوسط",1
"متى",1
"مثقف",1
"مثنو",1
"مجاز",1
"مجال",1
"محارب",1
"محاصر",1
"محترف",1
"محضر",1
"محط",1
"محل",1
"محمود",1
"مختلف",1
"مخلص",1
"مدافن",1
"مدى",1
"مديح",1
"مدير",1
"مرئيا",1
"مرائ",1
"مرار",1
"مراسل",1
"مربع",1
"مرحوم",1
"مرشد",1
"مرض",1
"مريم",1
"مزدوج",1
"مزروع",1
"مزمن",1
"مسائل",1
"مستحدث",1
"مستحيل",1
"مستمر",1
"مستنقع",1
"مسحور",1
"مسلم",1
"مسن",1
"مسيحي",1
"مسير",1
"مش",1
"مشارك",1
"مشاعر",1
"مشبوه",1
"مشرقيا",1
"مشروخ",1
"مشكا",1
"مشهدان",1
"مشيت",1
"مصادف",1
"مصدر",1
"مصري",1
"مضرح",1
"مضمون",1
"مضى",1
"مضيئ",1
"مطلق",1
"مظفر",1
"معارض",1
"معان",1
"معتقل",1
"معدن",1
"معرض",1
"معرك",1
"معروف",1
"معسكر",1
"معضل",1
"معطوف",1
"معطي",1
"معقد",1
"معنو",1
"مغامر",1
"مفتوح",1
"مفقود",1
"مفكر",1
"مقارب",1
"مقاطع",1
"مقالات",1
"مقباس",1
"مقترح",1
"مقتطف",1
"مقدر",1
"مكتمل",1
"مكسور",1
"ملائم",1
"ملابسات",1
"ملاك",1
"ملتقى",1
"ملح",1
"ملحق",1
"ملك",1
"ملموس",1
"ممتلئ",1
"ممثل",1
"ممكن",1
"ممكنا",1
"مناقش",1
"منبوذ",1
"منتشر",1
"منتصف",1
"منتظر",1
"منتهك",1
"منجرح",1
"منحلا",1
"مندل",1
"منزل",1
"منظر",1
"منظم",1
"منظور",1
"منفلوط",1
"منفيا",1
"منقرض",1
"مهباش",1
"مهرج",1
"مهرول",1
"مهمل",1
"مهنت",1
"مو",1
"مواجه",1
"موازا",1
"مواقع",1
"مواكب",1
"موتى",1
"موحش",1
"مورافيا",1
"موروث",1
"موزاييك",1
"موشوم",1
"موضوع",1
"موقع",1
"موقف",1
"موكب",1
"مي",1
"ميامر",1
"ميتاروائ",1
"ميتافيزيق",1
"ميثاق",1
"ميرو",1
"ميشونيك",1
"ميلادنا",1
"ميم",1
"نا",1
"نائم",1
"نادر",1
"ناس",1
"ناصر",1
"ناطق",1
"نبو",1
"نتائج",1
"نتحدث",1
"نترك",1
"نتغلب",1
"نتو",1
"نثر",1
"نجم",1
"نحات",1
"نحت",1
"ندو",1
"نذل",1
"نرقص",1
"نزحزح",1
"نزه",1
"نزيف",1
"نسكن",1
"نسي",1
"نشيج",1
"نشيد",1
"نصر",1
"نصنع",1
"نظم",1
"نعاس",1
"نف",1
"نفيل",1
"نقاد",1
"نقال",1
"نقف",1
"نكس",1
"نكه",1
"نماذج",1
"نمت",1
"نموذجا",1
"نهار",1
"نهرو",1
"نوافذ",1
"نوع",1
"نياب",1
"نيتش",1
"هادئ",1
"هجاس",1
"هجر",1
"هدف",1
"هدى",1
"هذيان",1
"هرب",1
"هربت",1
"هرطق",1
"هرمل",1
"هشام",1
"هلال",1
"همز",1
"هنر",1
"هواجس",1
"هولديرلن",1
"هيثم",1
"هير",1
"هيكلا",1
"واح",1
"واد",1
"واقعي",1
"وثن",1
"وجه",1
"وحدو",1
"ورق",1
"وزرا",1
"وسط",1
"وسطى",1
"وسوس",1
"وسيل",1
"وص",1
"وصف",1
"وصول",1
"وعد",1
"وعن",1
"ولاد",1
"وليد",1
"ي",1
"يات",1
"يبتل",1
"يبك",1
"يتبعن",1
"يتجلى",1
"يتحدث",1
"يترجل",1
"يتسع",1
"يحرس",1
"يحق",1
"يحيا",1
"يختار",1
"يخترق",1
"يد",1
"يرتكز",1
"يرفض",1
"يزال",1
"يستنكر",1
"يسرى",1
"يسقط",1
"يشتعل",1
"يصغى",1
"يصل",1
"يضيئ",1
"يعتقل",1
"يعلم",1
"يعود",1
"يغلب",1
"يفتتح",1
"يفن",1
"يقترب",1
"يقتل",1
"يقدد",1
"يقع",1
"يكتب",1
"يكن",1
"يل",1
"ينتحر",1
"ينته",1
"ينظر",1
"ينكشف",1
"ينم",1
"يها",1
"يهج",1
"يوسف",1
